code_name,smiles,YSI,HOMO-LUMO gap,HOMO,LUMO,IP,Dipole module,Global SASA,G solv. in H2O,G of H-bonds H2O,Total polariz. alpha,Total FOD,Hardness,Softness,Electronegativity,Electrophil. idx,Second IP,Second EA,S0-T1 gap,MolLogP,Set
487,CCC(C)CCO,36.3,14.5445,-10.8278,3.7167,8.8608,1.825,293.6582,-5.6056,-3.7334,79.7101,0.0,17.6634,0.0566,0.0291,0.0004,13.7684,-4.3676,283.0389,1.4149,Validation
488,CCCC(C)CO,35.8,14.7256,-10.7408,3.9848,8.8171,1.7816,296.4767,-4.9876000000000005,-3.1736,79.7027,0.0,17.6291,0.0567,0.0025,0.0002,13.7054,-4.3234,284.1438,1.4149,Training
489,CC(C)CCCO,35.6,14.6375,-10.8285,3.809,8.7776,1.7421,296.4535,-5.7223,-3.7789,79.7435,0.0,17.6645,0.0566,-0.0546,0.0006,13.6419,-4.2207,287.9031,1.4149,Training
490,CCCCCCCO,34.7,14.8996,-10.8707,4.0288,8.5453,1.8322,333.9355,-5.5713,-3.6239,91.4121,0.0,17.1469,0.0583,-0.0282,0.0008,12.975,-3.626,284.9264,1.9491,Training
491,CCCCC(C)O,34.1,15.1318,-10.9225,4.2093,8.8016,1.8628,304.2231,-4.7909,-2.954,79.5986,0.0,17.6368,0.0567,-0.0168,0.0001,13.6798,-4.2413,286.6681,1.5574,Validation
492,CCCC(O)CC,33.9,15.0219,-10.8997,4.1222,8.7622,1.8128,300.4763,-4.4904,-2.6545,79.6151,0.0,17.5812,0.0569,-0.0284,0.0001,13.6489,-4.3143,282.857,1.5574,Training
493,CC(C)C(C)O,33.3,14.7012,-10.7457,3.9555,9.0352,1.8873,263.2337,-4.6159,-2.8459,67.8904,0.0,18.232,0.0548,-0.0808,0.0002,14.5221,-5.2315,283.463,1.023199999999999,Validation
494,CCC(C)(C)O,32.9,14.4087,-10.7494,3.6593,9.0602,1.8166,262.0723,-4.449,-2.7623,67.8265,0.0,18.0767,0.0553,0.0218,0.0,14.6089,-5.0198,280.7878,1.1673,Validation
495,CCC(C)CO,32.3,14.586,-10.7397,3.8464,9.0114,1.8393,265.6101,-4.5443,-2.8321,68.0502,0.0,18.164,0.0551,-0.0706,0.0002,14.3577,-4.9766,286.9999,1.0248,Training
496,CC(C)CCO,31.9,14.681,-10.8585,3.8225,9.053,1.8213,267.891,-4.9942,-3.2455,68.0429,0.0,18.2233,0.0549,-0.0587,0.0005,14.3321,-4.9368,289.9848,1.0248,Training
497,CCCC(C)O,30.2,15.1414,-10.9244,4.217,9.006,1.8454,272.9875,-4.6767,-2.8889,67.9359,0.0,18.1778,0.055,-0.0828,0.0004,14.2985,-4.9395,289.0749,1.1673,Validation
498,CCCCCCO,30.0,15.0292,-10.8952,4.134,8.7442,1.8136,306.8487,-5.1647,-3.31,79.761,0.0,17.5224,0.0571,-0.017,0.0002,13.4655,-4.0497,289.0111,1.5590000000000002,Training
499,CCC(O)CC,29.1,14.911,-10.8663,4.0447,9.0234,1.8435,270.5724,-4.4473,-2.6777,67.9571,0.0,18.1333,0.0551,-0.0432,0.0001,14.3267,-4.9024,286.074,1.1673,Training
500,CC(C)(C)O,27.5,14.7003,-10.8069,3.8934,9.3909,1.8371,239.0995,-4.6593,-3.0098,56.1477,0.0,18.6056,0.0537,0.0881,0.0002,15.4955,-5.5297,284.7979,0.7771999999999991,Training
501,CC(C)CO,26.2,14.7773,-10.7557,4.0217,9.3176,1.8586,241.2218,-4.7601,-3.0638,56.3844,0.0,18.7531,0.0533,-0.0589,0.0001,15.0946,-5.63,290.0761,0.6347,Training
502,CCCCCO,25.4,14.8486,-10.848,4.0007,8.9742,1.8338,274.6309,-4.8467,-3.0976,68.0986,0.0,18.1136,0.0552,-0.0826,0.0009,14.0827,-4.7586,292.7662,1.1689,Validation
503,CC[C@H](C)O,25.3,14.652,-10.7892,3.8628,9.2857,1.8558,241.9235,-4.5351,-2.8415,56.3098,0.0,18.6509,0.0536,-0.0397,0.0001,15.0655,-5.5088,288.342,0.7771999999999991,Training
504,CC[C@@H](C)O,25.2,14.6513,-10.7884,3.8628,9.2857,1.8558,241.9781,-4.5363,-2.8404,56.3098,0.0,18.6509,0.0536,-0.0397,0.0001,15.0655,-5.5089,288.3417,0.7771999999999991,Validation
506,CCCCO,22.0,14.855,-10.8397,4.0153,9.2146,1.8616,244.9085,-4.7698,-3.0772,56.4282,0.0,18.6253,0.0537,-0.0981,0.0007,14.7978,-5.4791,292.3862,0.778799999999999,Validation
508,CCCO,16.2,14.8689,-10.7817,4.0872,9.5966,1.8448,216.9323,-4.7074,-3.0627,44.7762,0.0,19.2966,0.0518,-0.0517,0.0001,15.775,-6.0939,296.0472,0.3887,Training
509,CCO,10.3,15.23,-10.6943,4.5357,9.7617,1.7365,190.139,-5.9029,-4.124,33.1622,0.0,19.6277,0.0509,-0.0522,0.0001,16.5382,-6.8732,293.1373,-0.0014,Training
510,CO,6.6,15.7239,-10.7401,4.9838000000000005,10.6124,1.8036,156.7087,-6.0062,-4.2439,21.569,0.0,21.3453,0.0468,-0.0603,0.0001,18.8766,-8.848700000000001,307.2816,-0.3915,Training
511,CC(CC=O)CC(C)(C)C,62.3,11.6367,-10.1795,1.4572,8.5854,2.7583,346.4191,-3.5259,-0.9073,111.5679,0.0633,10.6601,0.0938,3.2554,0.4972,13.1202,-0.6212,96.5916,2.6477000000000013,Training
512,CCCCCCCCCC=O,52.8,11.6142,-10.1684,1.4457,8.2795,2.8093,416.4817,-3.7465,-1.06,123.4105,0.0668,10.3577,0.0965,3.1006,0.4642,12.0801,-0.0033,97.0552,3.326000000000002,Training
513,CCCCC(C=O)CCCC,48.2,11.3514,-10.0483,1.3031,8.43,2.8449,405.6259,-3.287,-0.8625,123.3806,0.0666,10.3737,0.0964,3.2431,0.507,12.3324,-0.3192,94.1248,3.181900000000001,Training
514,CCCCCCCCC=O,43.7,11.6831,-10.1822,1.5009,8.3724,2.7681,380.9412,-3.7866,-1.0103,111.7441,0.0639,10.4668,0.0956,3.139,0.4708,12.4454,-0.3192,97.3888,2.935900000000001,Training
515,CC(C)(C)CC=O,38.4,11.6193,-10.1241,1.4952,8.9345,2.8106,276.6793,-3.3039,-0.8521000000000001,76.6506,0.057,11.0018,0.0909,3.4336,0.5359,14.3143,-0.8658,95.3446,1.6215000000000002,Validation
516,CCCCCCCC=O,37.5,11.7016,-10.1906,1.5111,8.5044,2.7521,355.7784,-3.5858,-0.9733,100.092,0.0613,10.6039,0.0943,3.2024,0.4836,12.7769,-0.5179,97.3385,2.5458,Training
517,CCCCC(C=O)CC,36.6,11.3679,-10.0269,1.341,8.664,2.8461,345.5825,-3.1264,-0.8299000000000001,100.0671,0.0626,10.6368,0.094,3.3456,0.5262,13.09,-0.48,94.2123,2.401700000000001,Training
518,CCCCCCC=O,33.8,11.6159,-10.1461,1.4698,8.7004,2.8354,321.8343,-3.5302,-0.9707,88.4122,0.0574,10.7832,0.0927,3.3089,0.5077,13.3062,-0.7366,97.2054,2.1557,Training
519,CC(C)(C)C=O,30.6,11.4275,-9.9652,1.4623,9.2083,2.8676,255.6491,-2.9531,-0.8111,65.0514,0.0563,11.2465,0.0889,3.585,0.5714,15.0578,-0.7657,93.7542,1.2314,Validation
