code_name,smiles,YSI,HOMO-LUMO gap,HOMO,LUMO,IP,EA,Dipole module,Total charge,Global SASA,G solv. in H2O,G of H-bonds H2O,Fermi-level,Total polariz. alpha,Total FOD,Hardness,Softness,Electronegativity,Electrophil. idx,Nucleophilicity idx,Second IP,Second EA,S0-T1 gap,MolLogP
59,c1cc2c3c(c1)ccc1cccc(c13)C2,1312.8,8.9933,-8.6637,0.3296,7.6009,-0.1891,0.5796,0,367.3233,-1.9021,-0.4546,-8.5709,154.0201,0.1811,7.79,0.1284,3.7059,0.8815000000000001,1.2187,12.2123,4.8294,72.0879,3.897200000000001
60,c1ccc2c(c1)-c1cccc3cccc-2c13,1291.9,8.034,-8.7349,-0.7009000000000001,7.6613,0.5533,0.3211,0,383.484,-1.8221,-0.3188,-8.9704,165.0669,0.3106,7.108,0.1407,4.1073,1.1867,1.0264,12.1804,5.7176,60.1208,4.487200000000002
61,c1ccc(-c2cccc(-c3ccccc3)c2)cc1,1286.6,9.8169,-9.2187,0.5982000000000001,7.6141,-0.2088,0.0809,0,459.0571,-1.9845,-0.3636,-8.5417,193.0501,0.1363,7.8229,0.1279,3.7026,0.8762000000000001,1.2217,11.6794,5.4469,85.3112,5.020600000000003
62,c1cc2ccc3cccc4ccc(c1)c2c34,1250.1,7.5807,-8.0953,-0.5146000000000001,7.3422,0.3962,0.0,0,374.7739,-1.668,-0.2951,-8.7049,165.1758,0.3006,6.946,0.144,3.8692,1.0776,1.1052,11.8933,5.6041,56.1191,4.584000000000002
63,c1ccc(Cc2ccc(-c3ccccc3)cc2)cc1,1192.6,9.8575,-9.1596,0.6979000000000001,7.4791,-0.314,0.042,0,484.9342,-2.1799,-0.42,-8.441,204.6557,0.1239,7.7931,0.1283,3.5825,0.8234,1.2738,11.3651,5.5287,86.1936,4.944400000000004
64,Cc1c2ccccc2cc2ccccc12,1182.1,7.4694,-8.0609,-0.5915,7.1184,0.3497,0.5525,0,380.9336,-1.8021,-0.3704,-8.5769,159.3477,0.3388,6.7687,0.1477,3.7341,1.03,1.1494,11.6523,5.4947,50.9958,4.301420000000003
65,c1ccc(-c2cccc3ccccc23)cc1,1103.7,9.1881,-8.886800000000001,0.3013,7.6969,-0.2606,0.2285,0,409.2136,-1.6207,-0.3307,-8.5964,170.4557,0.1592,7.9575,0.1257,3.7182,0.8687,1.2214,12.0678,5.0274,73.947,4.506800000000003
66,c1ccc(C(c2ccccc2)c2ccccc2)cc1,1093.3,11.1884,-9.7383,1.4501,7.7421,-0.7048,0.3077,0,469.5237,-1.9004,-0.3847,-8.3187,204.7197,0.1016,8.4469,0.1184,3.5187,0.7329,1.3323,11.7598,5.0521,102.9275,4.866800000000003
67,c1ccc2c(c1)CCc1ccccc1C2,1067.2,10.9723,-9.4436,1.5287000000000002,7.7894,-1.124,0.4655,0,388.5429,-1.6537000000000002,-0.3719,-8.1819,160.0734,0.0744,8.9134,0.1122,3.3327,0.623,1.4411,12.1667,4.1202,103.6691,3.376000000000002
68,Cc1cccc2c1Cc1ccccc1-2,1014.9,9.5464,-8.8501,0.6963,7.7272,-0.605,0.8664000000000001,0,373.5931,-1.9648,-0.4692,-8.395199999999999,148.2556,0.1077,8.3322,0.12,3.5611,0.761,1.3078,12.3584,4.3136,81.882,3.566220000000002
69,c1ccc2c(c1)Cc1ccccc1C2,988.8,11.0321,-9.4923,1.5398,7.9124,-1.1495,0.4816,0,371.073,-1.6518000000000002,-0.3955,-8.2113,148.3855,0.07,9.0619,0.1104,3.3815,0.6309,1.4209,12.4578,4.0106,104.8149,3.181600000000001
70,c1ccc2c(c1)Cc1ccccc1-2,988.8,9.5196,-8.8759,0.6437,7.8672,-0.5612,0.4436,0,351.073,-1.7057,-0.4167,-8.4725,136.7081,0.1054,8.4284,0.1186,3.653,0.7916000000000001,1.2701,12.7404,4.2881,81.7665,3.257800000000001
71,Cc1ccccc1-c1ccccc1C,983.5,11.1027,-9.5386,1.5641,7.9534,-1.211,0.5069,0,384.5328,-1.4071,-0.4051,-8.243,153.5828,0.0707,9.1644,0.1091,3.3712,0.6201,1.4292,12.4597,3.8416,104.8455,3.970440000000002
72,c1ccc2cc3ccccc3cc2c1,962.6,7.6274,-8.2571,-0.6297,7.3399,0.402,0.0,0,363.7236,-1.5217,-0.2802,-8.7073,147.8223,0.3215,6.9379,0.1441,3.871,1.0799,1.104,12.0286,5.4648,52.3506,3.993000000000002
73,c1ccc2c(c1)CCc1ccccc1-2,952.2,9.4396,-8.8406,0.599,7.7096,-0.5535,0.4928,0,368.2329,-1.4683000000000002,-0.3448,-8.4359,148.4566,0.1105,8.2631,0.121,3.5781,0.7747,1.2971,12.3942,4.3521,81.0789,3.452200000000002
74,c1ccc2c(c1)ccc1ccccc12,941.7,9.0121,-8.7625,0.2496,7.7474,-0.1482,0.0693,0,358.2236,-1.5094,-0.2756,-8.6376,147.8144,0.1762,7.8956,0.1267,3.7996,0.9142,1.1843,12.4701,4.8825,73.1983,3.993000000000002
75,C1=C(c2ccccc2)Cc2ccccc21,931.3,8.299,-8.3955,-0.0965,7.3558,0.0515,0.7584000000000001,0,398.1336,-2.0344,-0.4309,-8.5283,159.3092,0.2005,7.3043,0.1369,3.7037,0.939,1.1944,11.8838,5.2931,64.2663,3.7833000000000014
76,Cc1cccc(-c2cccc(C)c2)c1,931.3,10.0988,-9.1974,0.9014,7.7478,-0.7975,0.4072,0,404.5252,-1.7777,-0.5137,-8.3501,153.5352,0.0884,8.5453,0.117,3.4751,0.7066,1.3569,12.1132,4.1502,89.1783,3.970440000000002
77,Cc1ccc(-c2ccc(C)cc2)cc1,899.9,9.8362,-8.9439,0.8923000000000001,7.502,-0.7684000000000001,0.1052,0,404.3531,-1.8039,-0.5159,-8.2601,153.5324,0.0928,8.2704,0.1209,3.3668,0.6853,1.4002,11.8027,4.2578,85.5693,3.970440000000002
78,Cc1ccccc1-c1ccccc1,863.3,11.1704,-9.5622,1.6082,8.1214,-1.1928,0.4661,0,369.8628,-1.3289,-0.3537,-8.2859,142.0273,0.0681,9.3142,0.1074,3.4643,0.6443,1.3878,12.7202,3.8036,106.4255,3.662020000000002
79,CCCCCc1ccc(-c2ccccc2)cc1,863.3,9.9285,-9.1755,0.753,7.5721,-0.6889000000000001,0.3288,0,486.3413,-1.6997,-0.439,-8.3909,188.6885,0.0939,8.261,0.1211,3.4416,0.7169,1.362,11.3606,4.299,86.9237,5.086300000000004
80,CCCCc1ccc(-c2ccccc2)cc1,847.7,9.9296,-9.1667,0.7629,7.6281,-0.6912,0.3394,0,454.9279,-1.6048,-0.4104,-8.391,177.0291,0.0928,8.3193,0.1202,3.4684,0.723,1.3513,11.615,4.2903,86.9131,4.696200000000004
81,CCCc1ccc(-c2ccccc2)cc1,821.5,9.9298,-9.1549,0.7749,7.6977,-0.6967,0.3717,0,427.4975,-1.525,-0.3877,-8.3947,165.3661,0.0913,8.3944,0.1191,3.5005,0.7299,1.3388,11.9038,4.2732,87.0502,4.306100000000003
82,CCc1ccc(-c2ccccc2)cc1,811.1,9.9314,-9.1392,0.7922,7.7693,-0.7042,0.3877,0,402.993,-1.4792,-0.3716,-8.4027,153.7001,0.0897,8.4735,0.118,3.5326,0.7364,1.3268,12.2212,4.2453,87.253,3.916000000000002
83,CCC(c1ccccc1)c1ccccc1,805.8,11.0627,-9.6569,1.4058,7.9693,-1.045,0.2401,0,414.0623,-1.4615,-0.3597,-8.3019,165.3943,0.0699,9.0143,0.1109,3.4622,0.6649,1.3796,12.2771,4.1227,103.2463,4.228500000000003
84,c1cc2c3c(cccc3c1)CC2,805.8,9.2205,-8.5756,0.6449,7.562699999999999,-0.6311,0.9535,0,331.2925,-1.5063,-0.386,-8.3549,125.7611,0.1287,8.1938,0.122,3.4658,0.733,1.3474,12.438,3.9209,72.9984,2.9384
85,Cc1cccc2c(C)cccc12,779.7,9.0254,-8.5558,0.4696,7.5865,-0.6004,0.0,0,344.3828,-1.4715,-0.4226,-8.3679,130.9151,0.1317,8.1869,0.1221,3.4931,0.7452000000000001,1.3338,12.4284,3.993,72.7948,3.456640000000002
86,Cc1cccc(-c2ccccc2)c1,779.7,10.0983,-9.2261,0.8722000000000001,7.9166,-0.7498,0.4334,0,375.7828,-1.5337,-0.3951,-8.4384,141.9961,0.0864,8.6664,0.1154,3.5833,0.7408,1.3106,12.5523,4.1233,89.2705,3.662020000000002
87,Cc1ccc2cc(C)ccc2c1,774.5,9.2154,-8.7066,0.5088,7.6317,-0.6229,0.0173,0,355.8927,-1.5372,-0.4673,-8.3926,130.9203,0.1265,8.2546,0.1211,3.5044,0.7439,1.3313,12.3583,3.9398,74.6983,3.456640000000002
88,Cc1ccc(-c2ccccc2)cc1,769.3,9.9471,-9.0853,0.8618,7.7717,-0.7313000000000001,0.4756,0,375.1631,-1.5443,-0.3959,-8.3875,141.994,0.0887,8.503,0.1176,3.5202,0.7287,1.3337,12.3539,4.1826,87.1679,3.662020000000002
89,C/C(=C\c1ccccc1)c1ccccc1,753.6,9.2176,-8.8202,0.3974,7.4738,-0.2814,0.4998,0,415.6635,-1.7385000000000002,-0.3865,-8.421,164.6013,0.1351,7.7552,0.1289,3.5962,0.8338,1.2657,11.8528,5.0293,76.1058,4.247100000000003
90,Cc1cc2ccccc2cc1C,748.4,9.2722,-8.7642,0.508,7.7004,-0.6083000000000001,0.9755,0,348.2528,-1.6112000000000002,-0.4164,-8.4078,130.9336,0.1273,8.3087,0.1204,3.5461,0.7567,1.3138,12.5693,3.9509,74.4809,3.456640000000002
91,C=C(c1ccccc1)c1ccccc1,743.1,9.7956,-9.1934,0.6022000000000001,7.8399,-0.437,0.404,0,386.6634,-1.4696,-0.3424,-8.5395,153.031,0.1178,8.2769,0.1208,3.7014,0.8276,1.2427,12.4767,4.6375,81.5215,3.748100000000001
92,Cc1ccc2ccccc2c1C,743.1,9.0645,-8.6228,0.4417,7.6089,-0.5888,0.7223,0,343.4228,-1.5336,-0.405,-8.3863,130.9188,0.1333,8.1977,0.122,3.5101,0.7515000000000001,1.3262,12.4778,3.9863,72.8991,3.456640000000002
93,Cc1cc(C)c2ccccc2c1,743.1,9.1353,-8.6354,0.4999,7.63,-0.6146,0.5676,0,349.9727,-1.5293,-0.4441,-8.3796,130.9213,0.1284,8.2446,0.1213,3.5077,0.7462000000000001,1.3293,12.4873,3.9627,73.8638,3.456640000000002
94,CCc1cccc2ccccc12,732.7,9.1622,-8.7814,0.3809,7.8031,-0.529,0.4269,0,346.3957,-1.2371,-0.3157,-8.5011,131.0766,0.1291,8.3322,0.12,3.6371,0.7938000000000001,1.2733,12.7447,3.9862,73.6827,3.402200000000002
95,CC(C)(c1ccccc1)c1ccccc1,727.5,11.1831,-9.6411,1.542,7.9452,-1.1194,0.1872,0,403.4328,-1.4759,-0.3711,-8.2391,165.3594,0.0689,9.0646,0.1103,3.4129,0.6425000000000001,1.4053,12.352,4.0567,104.886,4.012500000000003
96,Cc1ccc(C)c2ccccc12,711.8,8.9898,-8.5187,0.4711,7.5587,-0.6007,0.1045,0,344.0428,-1.438,-0.4145,-8.3593,130.9206,0.1336,8.1594,0.1226,3.479,0.7417,1.3395,12.394,3.9913,72.5903,3.456640000000002
97,CCc1ccc2ccccc2c1,701.3,9.2442,-8.8742,0.37,7.8637,-0.5327000000000001,0.4035,0,354.9027,-1.2513,-0.3295,-8.5259,131.0858,0.1265,8.3964,0.1191,3.6655,0.8001,1.2634,12.7049,3.9582,74.5509,3.402200000000001
