code_name,smiles,YSI
474,CC(C)C(O)C(C)C,41.9
475,CCCCC(C)(C)O,41.8
476,CCC(CC)CO,41.7
477,CCCCCCCCO,41.1
478,CC(C)(C)CCO,40.9
479,CC(C)C(C)(C)O,40.6
480,CCC(O)(CC)CC,40.5
481,CC(O)C(C)(C)C,40.4
482,CCCCCC(C)O,39.4
483,CCCCC(O)CC,38.5
484,CCCC(O)CCC,38.5
485,CCC(C)C(C)O,37.7
486,CCCC(C)(C)O,36.4
487,CCC(C)CCO,36.3
488,CCCC(C)CO,35.8
489,CC(C)CCCO,35.6
490,CCCCCCCO,34.7
491,CCCCC(C)O,34.1
492,CCCC(O)CC,33.9
493,CC(C)C(C)O,33.3
494,CCC(C)(C)O,32.9
495,CCC(C)CO,32.3
496,CC(C)CCO,31.9
497,CCCC(C)O,30.2
498,CCCCCCO,30
499,CCC(O)CC,29.1
500,CC(C)(C)O,27.5
501,CC(C)CO,26.2
502,CCCCCO,25.4
503,CC[C@H](C)O,25.3
504,CC[C@@H](C)O,25.2
505,CCC(C)O,24.8
506,CCCCO,22
507,CC(C)O,19.2
508,CCCO,16.2
509,CCO,10.3
510,CO,6.6
511,CC(CC=O)CC(C)(C)C,62.3
512,CCCCCCCCCC=O,52.8
513,CCCCC(C=O)CCCC,48.2
514,CCCCCCCCC=O,43.7
515,CC(C)(C)CC=O,38.4
516,CCCCCCCC=O,37.5
517,CCCCC(C=O)CC,36.6
518,CCCCCCC=O,33.8
519,CC(C)(C)C=O,30.6
520,CCC(C=O)CC,29
521,CC(C)CC=O,27.9
522,CCCC(C)C=O,27.6
523,CCCCCC=O,26.7
524,CCC(C)C=O,22.7
525,CC(C)C=O,21.2
526,CCCCC=O,21.1
527,CCCC=O,17.6
528,CCC=O,13.9
529,CC(C)(C)C(=O)C(C)(C)C,65.8
530,CC(C)CC(=O)CC(C)C,55.8
531,CCCCCCCCC(C)=O,51.9
532,CCCCCCCC(=O)CC,50.2
533,CCCCCCCC(C)=O,45.1
534,CCC(=O)CC(C)CC,43.5
535,CCCCCCC(=O)CC,43
536,CC(=O)CC(C)(C)C,42.7
537,CC(C)C(=O)C(C)C,42.6
538,CCCCC(=O)CCCC,41.8
539,CC(=O)C(C)(C)C,40.6
540,CCCCCCC(C)=O,37.9
541,CCCCCC(=O)CC,36
542,CCCC(=O)C(C)C,35.9
543,O=C1CCCCC1,34.3
544,CC(=O)CC(C)C,32.8
545,CCC(=O)C(C)C,30.7
546,CCCCC(=O)CC,30.7
547,CCCCCC(C)=O,30.4
548,CCC(C)C(C)=O,29
549,CCCC(=O)CCC,28.5
550,CC(=O)C(C)C,26.6
551,CCCCC(C)=O,25.6
552,CCCC(=O)CC,25.5
553,CCCC(C)=O,21.1
554,CCC(=O)CC,21.1
555,CCC(C)=O,17.2
556,CC(C)=O,13
557,CCN(CC)CC,25.5
558,CCNCC,13.2
559,CCCCN(C)C,26.1
560,CCCCNCC,22.1
561,CC(=O)OCCC(C)C,43.6
562,CCCCOC(=O)CC,43.3
563,CCC(=O)OCC(C)C,41.1
564,CCC(=O)OC(C)(C)C,40.5
565,CCCCCOC(C)=O,40.4
566,CCCCCCCC(=O)OC,38.9
567,CC(C)CCOC=O,38.2
568,CCCOC(=O)CCC,37.3
569,CCOC(=O)CC(C)C,36.6
570,CCCC(=O)OC(C)C,36.3
571,CCCCOC(C)=O,36
572,CCCCCOC=O,35.7
573,CCC(C)OC(C)=O,34.9
574,CC(=O)OCC(C)C,34.8
575,CC(=O)OC(C)(C)C,32.7
576,CCCCCCC(=O)OC,32.5
577,CCCOC(=O)CC,31.9
578,CCCCOC=O,31
579,COC(=O)C(C)(C)C,30.8
580,CC(C)COC=O,30.4
581,CCC(C)(C)C(=O)O,30
582,CC(C)(C)OC=O,30
583,CCOC(=O)C(C)CC,29.3
584,CCCCC(=O)OCC,28.4
585,COC(=O)CC(C)C,28.4
586,CCCCCC(=O)OC,26.7
587,CCOC(=O)C(C)C,26.1
588,CCC(CC)C(=O)O,25.9
589,CCCC(=O)OCC,25.5
590,CCC(C)C(=O)OC,24.9
591,CCCOC(C)=O,24.4
592,CC(=O)OC(C)C,23.7
593,CCCCC(=O)OC,22.3
594,COC(=O)C(C)C,22.2
595,CCOC(=O)CC,20.3
596,CC(C)OC=O,20.3
597,CCCOC=O,20.3
598,CC(C)C(=O)O,18.8
599,CCCC(=O)OC,18.6
600,CCCC(=O)O,18.1
601,CCC(=O)OC,15
602,CCOC(C)=O,13.4
603,COC(C)=O,11.7
604,CCOC=O,9.2
605,CC(C)CCOCCC(C)C,63.6
606,COC1CCCC1,62.3
607,CCC(C)OC(C)CC,54
608,CCCCOCCCC,38.7
609,CC(C)OC(C)C,38.7
610,CCC(C)(C)OC,38.1
611,CCOC(C)(C)C,37.9
612,COC(C)(C)C,31.5
613,CCC(C)OC,28.6
614,CCCOCCC,28
615,CCCCOC,23
616,CCCOC,18
617,CCOCC,16.8
618,C=C(C)[C@H]1CC=C(C)CC1,137.325
619,CC1CCC(C(C)C)CC1,91.985
620,C=C1CCC2(C(C)C)CC12,203.716
621,CC1CCC2(C(C)C)CC12,144.456
622,CC1CCC(C)(C(C)C)C1,104.871
623,CC1=CCC2CC1C2(C)C,207.124
624,C=C1CC[C@H]2C[C@@H]1C2(C)C,136.906
625,CC1CCC2CC1C2(C)C,109.663
626,CC1=CCC2C(C1)C2(C)C,248.498
627,CC1CCC2C(C1)C2(C)C,144.084
628,CC1CCCC(C)(C)CC1,99.086
629,CC1CCCCC(C)CC1,84.741
630,CC12CCC(CC1)C(C)(C)O2,110.962
631,CC(C)C12CCC(C)(CC1)O2,104.569
632,C=C(C)[C@H]1CC=C(C)C(=O)C1,126.424
633,C=C(C)[C@@H]1CC=C(C)C(=O)C1,127.687
634,C=CC(=C)CCC=C(C)C,103.6
635,C=CC(C)=CCC=C(C)C,213.625
636,C=CC(C)CCC=C(C)C,110.9
637,CC(C)=CCCC(C)=CC=O,91.8
638,CC(C)=CCCC(C)=CCO,103.7
639,CC(C)=CCCC(C)CC=O,85.6
640,Cc1ccc(C(C)C)cc1O,193.1
641,C=CC(C)(O)CCC=C(C)C,98
642,C=CC(C)(C)O,25
643,C=CCNC,25.3
644,CC/C=C/CC(=O)OC,45.3
645,CCC=C(C)C(=O)OC,42
646,C=CCCC(=O)OCC,41.2
647,CCOC(=O)C=C(C)C,39.5
648,C=CCCCC(=O)OC,39.2
649,C/C=C/CC(=O)OC,38.8
650,C/C=C(/C)C(=O)OC,38
651,C=C(C)C(=O)OCCC,37.1
652,COC(=O)C=C(C)C,36.4
653,CCC/C=C/C(=O)OC,35.9
654,C/C=C(\C)C(=O)OCC,34
655,CC/C=C/C(=O)OC,33.6
656,C=CCCC(=O)OC,33.3
657,C/C=C/C(=O)OCC,30.3
658,C=CC(=O)OCCC,30
659,C=C(C)C(=O)OC,29
660,C/C=C/C(=O)OC,27.3
661,C=C(C)C(=O)OCC,25.4
662,C=CC(=O)OCC,22
663,C=CC(=O)OC,19.4
