SMILES,YSI
CCCCCC(=O)OC,26.7
CCOC(=O)C(C)C,26.1
CCC(CC)C(=O)O,25.9
CCCC(=O)OCC,25.5
CCC(C)C(=O)OC,24.9
CCCOC(C)=O,24.4
CC(=O)OC(C)C,23.7
CCCCC(=O)OC,22.3
COC(=O)C(C)C,22.2
CCOC(=O)CC,20.3
CC(C)OC=O,20.3
CCCOC=O,20.3
CC(C)C(=O)O,18.8
CCCC(=O)OC,18.6
CCCC(=O)O,18.1
CCC(=O)OC,15
CCOC(C)=O,13.4
COC(C)=O,11.7
CCOC=O,9.2
CC(C)CCOCCC(C)C,63.6
COC1CCCC1,62.3
CCC(C)OC(C)CC,54
CCCCOCCCC,38.7
CC(C)OC(C)C,38.7
CCC(C)(C)OC,38.1
CCOC(C)(C)C,37.9
COC(C)(C)C,31.5
CCC(C)OC,28.6
CCCOCCC,28
CCCCOC,23
CCCOC,18
CCOCC,16.8
C=C(C)[C@H]1CC=C(C)CC1,137.325
CC1CCC(C(C)C)CC1,91.985
C=C1CCC2(C(C)C)CC12,203.716
CC1CCC2(C(C)C)CC12,144.456
CC1CCC(C)(C(C)C)C1,104.871
CC1=CCC2CC1C2(C)C,207.124
C=C1CC[C@H]2C[C@@H]1C2(C)C,136.906
CC1CCC2CC1C2(C)C,109.663
CC1=CCC2C(C1)C2(C)C,248.498
CC1CCC2C(C1)C2(C)C,144.084
CC1CCCC(C)(C)CC1,99.086
CC1CCCCC(C)CC1,84.741
CC12CCC(CC1)C(C)(C)O2,110.962
CC(C)C12CCC(C)(CC1)O2,104.569
C=C(C)[C@H]1CC=C(C)C(=O)C1,126.424
C=C(C)[C@@H]1CC=C(C)C(=O)C1,127.687
C=CC(=C)CCC=C(C)C,103.6
C=CC(C)=CCC=C(C)C,213.625
C=CC(C)CCC=C(C)C,110.9
CC(C)=CCCC(C)=CC=O,91.8
CC(C)=CCCC(C)=CCO,103.7
CC(C)=CCCC(C)CC=O,85.6
Cc1ccc(C(C)C)cc1O,193.1
C=CC(C)(O)CCC=C(C)C,98
C=CC(C)(C)O,25
C=CCNC,25.3
CC/C=C/CC(=O)OC,45.3
CCC=C(C)C(=O)OC,42
C=CCCC(=O)OCC,41.2
CCOC(=O)C=C(C)C,39.5
C=CCCCC(=O)OC,39.2
C/C=C/CC(=O)OC,38.8
C/C=C(/C)C(=O)OC,38
C=C(C)C(=O)OCCC,37.1
COC(=O)C=C(C)C,36.4
CCC/C=C/C(=O)OC,35.9
C/C=C(\C)C(=O)OCC,34
CC/C=C/C(=O)OC,33.6
C=CCCC(=O)OC,33.3
C/C=C/C(=O)OCC,30.3
C=CC(=O)OCCC,30
C=C(C)C(=O)OC,29
C/C=C/C(=O)OC,27.3
C=C(C)C(=O)OCC,25.4
C=CC(=O)OCC,22
C=CC(=O)OC,19.4
